"T12,Gross domestic product and gross domestic product per capita,,,"
"Region/Country/Area,,Year,population,Value"
"143,Central Asia,1995,-51.6616,-6.4577"
"143,Central Asia,2005,71.768,8.971"
"143,Central Asia,2010,60.1848,7.5231"
"143,Central Asia,2015,27.8368,3.4796"
"143,Central Asia,2017,36.3504,4.5438"
"143,Central Asia,2018,37.4592,4.6824"
"30,Eastern Asia,1985,15404457.86,1925557.232"
"30,Eastern Asia,1995,57530941.1,7191367.638"
"30,Eastern Asia,2005,68479605.7,8559950.712"
"30,Eastern Asia,2010,109228282.8,13653535.35"
"30,Eastern Asia,2015,142304847.6,17788105.95"
"30,Eastern Asia,2017,157113600.8,19639200.1"
"30,Eastern Asia,2018,170846561.1,21355820.14"
"30,Eastern Asia,1985,12017.9192,1502.2399"
"30,Eastern Asia,1995,39283.1024,4910.3878"
"30,Eastern Asia,2005,43782.9352,5472.8669"
"30,Eastern Asia,2010,68066.2624,8508.2828"
"30,Eastern Asia,2015,86504.5712,10813.0714"
"30,Eastern Asia,2017,94667.356,11833.4195"
"30,Eastern Asia,2018,102527.9488,12815.9936"
"30,Eastern Asia,1985,31021654.66,3877706.833"
"30,Eastern Asia,1995,52604118.43,6575514.804"
"30,Eastern Asia,2005,81931674.8,10241459.35"
"30,Eastern Asia,2010,110188342.2,13773542.78"
"30,Eastern Asia,2015,142304847.6,17788105.95"
"30,Eastern Asia,2017,156644771.4,19580596.42"
"30,Eastern Asia,2018,164077471.9,20509683.99"
"30,Eastern Asia,1985,53.2608,6.6576"
"30,Eastern Asia,1995,45.12,5.64"
"30,Eastern Asia,2005,49.7472,6.2184"
"30,Eastern Asia,2010,64.4344,8.0543"
"30,Eastern Asia,2015,38.0272,4.7534"
"30,Eastern Asia,2017,41.3328,5.1666"
"30,Eastern Asia,2018,37.9592,4.7449"
"35,South-eastern Asia,1985,1950449.822,243806.2277"
"35,South-eastern Asia,1995,5627893.915,703486.7394"
"35,South-eastern Asia,2005,7671141.506,958892.6882"
"35,South-eastern Asia,2010,15846929.8,1980866.225"
"35,South-eastern Asia,2015,19734247.7,2466780.962"
"35,South-eastern Asia,2017,22270949.12,2783868.64"
